pmid,target_response
32073266,IDO1 Inhibitor / Prodrug
20550100,Cytostatic / Apoptosis-Resistant / Anticancer
27429255,Hh Pathway Activator / Osteogenic / Smo Agonist
25797502,ERAlpha Ligand / Estrogen Receptor Alpha Ligand / Cytotoxic / Breast Cancer
30247903,PD-1/L1 Inhibitor / Cancer Immunotherapy
30256641,Chemokine Receptor Inhibitor / CCR1 Inverse Agonist
9873570,cdc25A Inactivator / Anticancer
21315586,Anti-tumor
11931616,Osteogenic Growth Peptide
25556097,D3 Receptor Ligand / Dopamine Modulator / D2 Receptor Ligand
25455484,Phosphodiesterase 5 Inhibitor / Erectile Dysfunction Treatment
10464024,Thymidine Kinase Substrate / TK1 Substrate / TK2 Substrate
33340911,VEGFR-2 Inhibitor / Anti-Angiogenesis
21296467,Anticancer / Fe(2+) Chelator
20194693,NO_CHEMICAL_FUNCTIONAL_DESCRIPTORS
32738989,REV-ERB Ligand / Transcriptional Repressor Ligand / Nuclear Receptor Ligand
18332176,NO_CHEMICAL_FUNCTIONAL_DESCRIPTORS
28532668,HDAC Inhibitor / Anticancer
18083512,HIV-1 RT Inhibitor
20036535,SGLT Inhibitor
33119282,CK2Alpha Inhibitor
32894018,Myosin Inhibitor / Muscle Myosin II Inhibitor
23941661,NO_CHEMICAL_FUNCTIONAL_DESCRIPTORS
17851076,DPP-4 Inhibitor
23314050,Immunosuppressant / T-cell Proliferation
31160177,Anti-Inflammatory / Analgesic / COX-2 Inhibitor
33284613,MEK1/2 Degrader / VHL-Recruiting / CRBN-Recruiting / Anticancer
20575550,Histone Methyltransferase Inhibitor / MLL1 Inhibitor
10866385,Elastase Inhibitor
20472428,DNA-PK Inhibitor
768475,Growth Inhibitor
18599296,Alpha-Mannosidase Inhibitor / Anticancer / GMII Inhibitor
20006929,VEGFR-2 Inhibitor / Antiangiogenic
19230660,MrgX1 Agonist / MrgX2 Agonist
18194870,Alpha-Glucosidase Inhibitor
17467123,Anti-Inflammatory
11207363,NO_CHEMICAL_FUNCTIONAL_DESCRIPTORS
18789558,Immunomodulator / Anti-Herpes
11792694,Organic Anion Transporter Inhibitor
12475240,Bile Acid Transport Inhibitor
20493593,Antimycobacterial
11206454,Anti-HIV
12039563,Antioxidant / Collagen Cross-linking / Burn Wound Healing
17241703,Antibiotic
17918820,Estrogen Receptor Ligand / ERAlpha Ligand
19456100,Adenovirus Inhibitor
33761251,Cannabinoid Receptor Agonist
19932966,NS3/4A Inhibitor / Protease Inhibitor / HCV Inhibitor
16892352,p38 MAP Kinase Inhibitor / Anti-Inflammatory / Cytokine Suppressor
21207959,mGlu(5) Ligand
25773014,HIF-1 Inhibitor / Anticancer / Hypoxia Response Suppressor
30996858,Mitochondrial Dysfunction Treatment / Cytoprotective
19522462,Prodrug
27128528,GSK3 Inhibitor / Mood Stabilizer
1648140,Sigma Receptor Ligand
23353749,Analgesic / Opioid Involvement
25240731,Leishmanicidal / Host-Parasite Interaction
22104972,Fatty Acid Synthesis Inhibitor / Antibiotic / KAS III Inhibitor
17112638,Urotensin II Agonist
2175715,NO_CHEMICAL_FUNCTIONAL_DESCRIPTORS
32201020,EP(4) Agonist
3020248,"Na+,K+-ATPase Inhibitor"
22955095,Antitumour / Pro-Apoptotic
18713666,Antileukemic / Pro-Apoptotic
20493695,Smo Antagonist / Hh Pathway Inhibitor
19819135,Cytostatic / Topoisomerase IIalpha Inhibitor / Anticancer
12217373,Antibiotic
19168361,DNA-Binding Enhancer / Anticancer
490547,Melanoma Inhibitor / Cytotoxic
20807084,Acetylcholinesterase Inhibitor
29574203,Phosphodiesterase Inhibitor / PDE Inhibitor / Anticancer
27939345,CXCR4 Antagonist
25619742,DNA GyraseB Inhibitor / Antibiotic
20167482,SARS-CoV 3CLpro Inhibitor
23182088,Anticancer
27255176,Sphingosine Kinase Inhibitor / Anti-Inflammatory
27405794,Antiviral / Prodrug
24900622,Bile Acid Binder / TGR5 Agonist
18284200,Virulence Inhibitor / Biofilm Disruptor / Quorum Sensing Modulator
22497764,Farnesyl Transferase Inhibitor / CYP3A4 Inhibitor
18818303,FFA2 Agonist
24326278,Topoisomerase Inhibitor / Anticancer
26280302,IDH1 Inhibitor / Anticancer
8469419,Adenosine A1 Receptor Antagonist
19969452,"Fructose-1,6-bisphosphatase Inhibitor / Type-2 Diabetes"
7265129,Sweetener
29138027,Cytotoxic / NF-kappaB Inhibitor
18318469,CRTH2 Antagonist / DP2 Antagonist
25179783,Anti-Inflammatory / NO Biosynthesis Inhibitor
12951090,PPAR Agonist / Anti-Hyperglycemic
17084634,Muscarinic Agonist
22047801,Mitochondrial Apoptotic Inducers / Cytostatic Activity / Caspase Activation / DNA damage
16574416,Chk1 Inhibitor
17521910,Melanogenesis Stimulator / Tyrosinase Activator / p38 MAPK Activator
28927789,Neuroblastoma Inhibitor / Apoptosis Inducer / Anticancer
20232802,Mutant SOD-1 Stabilizer / ALS
16875818,Classical Complement Pathway Inhibitor
20451394,Src Inhibitor / Abl Inhibitor
29670705,Anti-Herpes / Prodrug
12502355,Anticancer
34378933,Neuroprotective / MAPK Inhibitor / Apoptosis Inhibitor
3806587,DNA Polymerase Inhibitor / Antitumor
10514305,Anti-Inflammatory
17134894,20S Proteasome Inhibitor
23481256,NO_CHEMICAL_FUNCTIONAL_DESCRIPTORS
11254383,MMP-11 Inhibitor / Protease Inhibitor / Matrix Metalloproteinase Inhibitor / Anticancer
1534125,NMDA Receptor Antagonist
19091562,Antiplasmodial / Antileishmanial
2913310,Reactivates AChE / Antidote / AChE Phosphorylation Inhibitor
17804234,ADAMTS-5 Inhibitor / Aggrecanase-2 Inhibitor / Osteoarthritis
31223436,LRRK2 Kinase Inhibitor / Parkinson's Disease / Neurodegenerative Disorders
27187864,Anticancer
9090871,Insecticidal
20226197,p53-MDM2/MDMX Interaction
18955520,Neuraminidase Inhibitor / Anti-Influenza
16987659,Superoxide Dismutase-like / Anti-Prion / Copper Chelator
30133284,TTR Stabilizer / Amyloidosis
18197612,Hsp90 Inhibitor
17067161,Cytotoxic
23122936,DNA Binding / Cytotoxic
